332,224,267,4194304.0,5,5,259,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,5366218752.0,6,6,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,16777216.0,4,5,271,4096,1,4096,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,4,4,782,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,4,4,271,4096,0,4096,1048576
332,224,267,16777216.0,4,5,270,4096,1,1024,1048576
332,224,267,4194304.0,5,5,33166,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,4,5,271,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,259,4096,1,4096,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,33167,4096,0,1024,1048576
332,224,267,4194304.0,4,4,271,4096,0,4096,1048576
332,224,267,16777216.0,4,5,271,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,259,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,16777216.0,4,5,287,4096,1,1024,1048576
332,224,267,4194304.0,4,4,783,4096,0,1024,1048576
332,224,267,16777216.0,4,5,287,4096,1,1024,1048576
34404,240,523,141000000000000.0,5,5,34,4096,2,1024,1048576
332,224,267,4194304.0,5,5,259,4096,0,1024,1048576
332,224,267,4194304.0,4,4,271,4096,0,4096,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,4,4,34,8192,0,512,1048576
332,224,267,4194304.0,4,4,271,4096,0,1024,1048576
332,224,267,4194304.0,4,4,271,4096,0,4096,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,16777216.0,4,5,271,4096,1,4096,1048576
332,224,267,4194304.0,4,4,33166,4096,0,1024,1048576
332,224,267,4194304.0,4,5,271,4096,1,1024,1048576
34404,240,523,4290183168.0,6,6,34,4096,1,1536,1048576
332,224,267,4194304.0,5,5,33167,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,4,4,271,4096,0,1024,1048576
332,224,267,16777216.0,4,5,271,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,259,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,258,4096,0,1024,1048576
332,224,267,4194304.0,5,5,259,4096,1,4096,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,4194304.0,5,5,258,4096,1,1024,1048576
332,224,267,11468800.0,4,4,782,4096,0,1024,1048576
332,224,267,16777216.0,4,5,287,4096,1,1024,1048576
332,224,267,4194304.0,6,4,34,8192,0,512,1048576
332,224,267,16777216.0,4,5,271,4096,1,1024,1048576
332,224,267,4194304.0,4,4,259,4096,0,4096,1048576
34404,240,523,4290183168.0,6,6,34,4096,1,1536,1048576
34404,240,523,141000000000000.0,6,6,34,4096,1,1024,262144
34404,240,523,141000000000000.0,6,6,34,4096,2,1024,1048576
332,224,267,4194304.0,5,5,258,4096,1,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
332,224,267,16777216.0,4,5,271,4096,1,4096,1048576
332,224,267,4194304.0,4,4,259,4096,0,4096,1048576
34404,240,523,141000000000000.0,6,6,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
34404,240,523,141000000000000.0,5,5,34,4096,2,1024,1048576
34404,240,523,4290183168.0,6,6,34,4096,1,1536,1048576
332,224,267,16777216.0,5,6,258,4096,0,1024,1048576
332,224,267,4194304.0,5,5,259,4096,1,1024,1048576
332,224,267,16777216.0,4,5,271,4096,1,1024,1048576
34404,240,523,4290379776.0,6,6,34,4096,1,2048,1048576
332,224,267,4194304.0,5,5,33167,4096,0,4096,1048576
332,224,267,4194304.0,4,4,259,4096,0,1024,1048576
34404,240,523,141000000000000.0,10,10,34,4096,0,1024,1048576
