name,Machine,NumberOfSections,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,keterangan
E:/sampel/zeus/pid856/file.0x80efb0f8.0x80f2eca0.ImageSectionObject.comctl32.dll.img,332,4,0,0,224,8462,267,7,10,458240,152576,0,13018,4096,1560870912,4096,512,5,1,5,1,4,0,0,618496,1024,651397,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80efb0f8.0x80f2eca0.ImageSectionObject.comctl32.dll.img,332,4,0,0,224,8462,267,7,10,458240,152576,0,13018,4096,1560870912,4096,512,5,1,5,1,4,0,0,618496,1024,651397,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80efcd20.0x80f61110.ImageSectionObject.msvcrt.dll.img,332,4,0,0,224,8462,267,7,10,310784,39424,0,62113,4096,2009137152,4096,512,5,1,5,1,4,0,0,360448,1024,359635,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f04280.0x80f5a880.ImageSectionObject.imagehlp.dll.img,332,4,0,0,224,8462,267,7,10,135680,12288,0,4717,4096,1992884224,4096,512,5,1,5,1,4,0,0,163840,1024,188984,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f05b90.0x80fb6cf8.ImageSectionObject.authz.dll.img,332,4,0,0,224,8462,267,7,10,52224,3584,0,4560,4096,2003566592,4096,512,5,1,5,1,4,10,0,69632,1024,89552,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f27750.0x80fb1108.ImageSectionObject.comctl32.dll.img,332,4,0,0,224,8462,267,7,10,589824,461312,0,17075,4096,2000486400,4096,512,5,1,5,1,4,10,0,1056768,1024,1065968,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f28b68.0xff3661e0.ImageSectionObject.uxtheme.dll.img,332,4,0,0,224,8462,267,7,10,193024,24576,0,5670,4096,1524039680,4096,512,5,1,5,1,4,10,0,229376,1024,255544,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f29bc0.0x80f2a598.ImageSectionObject.oleaut32.dll.img,332,5,0,0,224,8462,267,7,10,521728,31232,0,5464,4096,1997668352,4096,512,5,1,5,1,4,10,0,573440,1024,616791,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f2e660.0x81023970.ImageSectionObject.rpcrt4.dll.img,332,5,0,0,224,8462,267,7,10,558592,23040,0,25220,4096,2011627520,4096,512,5,1,5,1,4,10,0,593920,1024,640130,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f4c738.0x81024b00.ImageSectionObject.setupapi.dll.img,332,4,0,0,224,11534,267,7,10,510464,472576,0,5530,4096,2006056960,4096,512,5,1,5,1,4,0,0,995328,1024,1005931,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f4d128.0x80fb1c48.ImageSectionObject.secur32.dll.img,332,4,0,0,224,8462,267,7,10,49664,5632,0,8497,4096,2013134848,4096,512,5,1,5,1,4,0,0,69632,1024,107137,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f4d3c8.0x80fb5578.ImageSectionObject.ws2_32.dll.img,332,4,0,0,224,8462,267,7,10,74240,7680,0,4723,4096,1907032064,4096,512,5,1,5,1,4,10,0,94208,1024,131851,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f63920.0x80f2acb0.ImageSectionObject.advapi32.dll.img,332,4,0,0,224,8462,267,7,10,476160,146432,0,28884,4096,2010972160,4096,512,5,1,5,1,4,0,0,634880,1024,658916,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f721f8.0x80ff0008.ImageSectionObject.dnsapi.dll.img,332,4,0,0,224,8462,267,7,10,130048,18432,0,33640,4096,1995571200,4096,512,5,1,5,1,4,0,0,159744,1024,203514,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f72c48.0x80ff9c28.ImageSectionObject.ole32.dll.img,332,5,0,0,224,8462,267,7,10,1193984,87552,0,73921,4096,2001600512,4096,512,5,1,5,1,4,0,0,1294336,1024,1327614,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f72e90.0x80fb72f0.ImageSectionObject.wsock32.dll.img,332,4,0,0,224,8462,267,7,10,9216,12288,0,4153,4096,1907163136,4096,512,5,1,5,1,4,10,0,36864,1024,76849,3,1024,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80f7ca70.0x80f777d0.ImageSectionObject.shlwapi.dll.img,332,4,0,0,224,8462,267,7,10,441344,32768,0,20987,4096,2012610560,4096,512,5,1,5,1,4,0,0,483328,1024,510103,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb0898.0x80efacc0.ImageSectionObject.sensapi.dll.img,332,4,0,0,224,8462,267,7,10,3584,1536,512,4368,4096,1915420672,4096,512,5,1,5,1,4,0,0,20480,1024,26213,3,1024,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb2ee8.0x80fcb6c8.DataSectionObject.shimeng.dll.dat,332,4,0,0,224,8462,267,7,10,55808,86528,0,36409,4096,1555496960,4096,512,5,1,5,1,4,0,0,155648,1024,99713,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb2ee8.0xff3653d0.ImageSectionObject.shimeng.dll.img,332,4,0,0,224,8462,267,7,10,55808,86528,0,36409,4096,1555496960,4096,512,5,1,5,1,4,0,0,155648,1024,99713,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb5ac0.0xff277ef8.DataSectionObject.winmm.dll.dat,332,4,0,0,224,8462,267,7,10,126464,51200,0,11113,4096,1991507968,4096,512,5,1,5,1,4,0,0,184320,1024,191754,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb5ac0.0xff36a1e0.ImageSectionObject.winmm.dll.img,332,4,0,0,224,8462,267,7,10,126464,51200,0,11113,4096,1991507968,4096,512,5,1,5,1,4,0,0,184320,1024,191754,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb78d0.0xff3662b8.ImageSectionObject.msacm32.dll.img,332,4,0,0,224,8462,267,7,10,62464,8192,0,4754,4096,2008940544,4096,512,5,1,5,1,4,0,0,86016,1024,120334,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fb7d28.0x80ffd008.ImageSectionObject.kernel32.dll.img,332,4,0,0,224,8462,267,7,10,531968,458240,0,46134,4096,2088763392,4096,512,5,1,5,1,4,0,0,999424,1024,1046600,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fbe850.0xff38b420.ImageSectionObject.msv1_0.dll.img,332,4,0,0,224,8462,267,7,10,114688,14336,0,18569,4096,2009530368,4096,512,5,1,5,1,4,0,0,143360,1024,180441,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80fcfce0.0x80f587e0.ImageSectionObject.netapi32.dll.img,332,4,0,0,224,8462,267,7,10,309760,21504,0,35320,4096,1535508480,4096,512,5,1,5,1,4,0,0,344064,1024,383638,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80feb1c8.0xff380640.ImageSectionObject.iphlpapi.dll.img,332,4,0,0,224,8462,267,7,10,77312,16384,0,21495,4096,1993736192,4096,512,5,1,5,1,4,10,0,102400,1024,130252,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x80ffaa00.0x80ff00f0.ImageSectionObject.samlib.dll.img,332,4,0,0,224,8462,267,7,10,59392,4096,0,4493,4096,1908342784,4096,512,5,1,5,1,4,0,0,77824,1024,105553,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x81002210.0x80f28ea0.ImageSectionObject.psapi.dll.img,332,4,0,0,224,8462,267,7,10,16384,14848,0,4337,4096,1992228864,4096,512,5,1,5,1,4,0,0,45056,1024,41627,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0x81075220.0x80f49148.ImageSectionObject.ntdll.dll.img,332,4,0,0,224,8462,267,7,10,501760,211456,0,78166,4096,2089811968,4096,512,5,1,5,1,4,10,0,720896,1024,717559,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff360bd8.0x80ffdba0.ImageSectionObject.xpsp2res.dll.img,332,1,0,0,224,8462,267,7,10,0,2897408,0,0,4096,536870912,4096,512,5,1,5,1,5,1,0,2904064,512,2961476,3,1024,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff361400.0xff36a2b8.ImageSectionObject.AcGenral.dll.img,332,4,0,0,224,8462,267,7,10,204288,1659392,0,155162,4096,1871183872,4096,512,5,1,5,1,4,10,0,1875968,1024,1855724,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff364130.0x81025008.ImageSectionObject.urlmon.dll.img,332,5,0,0,224,8462,267,7,10,460288,184320,0,6023,4096,1998979072,4096,512,5,1,5,1,4,0,0,655360,1024,619265,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff368130.0x80f06008.ImageSectionObject.shell32.dll.img,332,4,0,0,224,8462,267,7,10,2076160,6380544,0,129552,4096,2090598400,4096,512,5,1,5,1,4,10,0,8470528,1024,8440852,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff368130.0xff37b008.DataSectionObject.shell32.dll.dat,332,4,0,0,224,8462,267,7,10,2076160,6380544,0,129552,4096,2090598400,4096,512,5,1,5,1,4,10,0,8470528,1024,8440852,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff3783b8.0xff397598.ImageSectionObject.hnetcfg.dll.img,332,5,0,0,224,8462,267,7,10,254976,88576,0,227921,4096,1714094080,4096,512,5,1,5,1,4,0,0,360448,1024,360395,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff3783b8.0xff3b3448.DataSectionObject.hnetcfg.dll.dat,332,5,0,0,224,8462,267,7,10,254976,88576,0,227921,4096,1714094080,4096,512,5,1,5,1,4,0,0,360448,1024,360395,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff379f90.0xff380eb8.ImageSectionObject.svchost.exe.img,332,3,0,0,224,271,267,7,10,11264,2048,0,9481,4096,16777216,4096,512,5,1,5,1,4,0,0,24576,1024,40157,2,33792,262144,16384,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37a130.0x80f70880.ImageSectionObject.ws2help.dll.img,332,4,0,0,224,8462,267,7,10,15872,3072,0,5698,4096,1906966528,4096,512,5,1,5,1,4,0,0,32768,1024,45046,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37a410.0xff37cb28.ImageSectionObject.comres.dll.img,332,4,0,0,224,8462,267,7,10,512,791040,0,4181,4096,1996816384,4096,512,5,1,5,1,4,10,0,806912,1024,823662,3,1024,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37b438.0xff37cc00.ImageSectionObject.clbcatq.dll.img,332,4,0,0,224,8462,267,7,10,466944,45056,0,13668,4096,1996292096,4096,512,5,1,5,1,4,0,0,520192,1024,522286,2,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37b9d0.0xff379e98.ImageSectionObject.ntmarta.dll.img,332,4,0,0,224,8462,267,7,10,103936,16384,0,5173,4096,2003369984,4096,512,5,1,5,1,4,10,0,135168,1024,131007,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37c700.0xff378430.ImageSectionObject.mswsock.dll.img,332,5,0,0,224,8462,267,7,10,217600,29184,0,5325,4096,1906638848,4096,512,5,1,5,1,4,10,0,258048,1024,293436,3,0,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37d788.0xff2673f8.DataSectionObject.rsaenh.dll.dat,332,4,0,0,224,8462,267,7,10,134144,17920,0,79073,4096,268238848,4096,512,5,1,5,1,4,0,0,163840,1024,173788,3,2048,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff37d788.0xff37d388.ImageSectionObject.rsaenh.dll.img,332,4,0,0,224,8462,267,7,10,134144,17920,0,79073,4096,268238848,4096,512,5,1,5,1,4,0,0,163840,1024,173788,3,2048,262144,4096,1048576,4096,0,16,1
E:/sampel/zeus/pid856/file.0xff381888.0xff38a6f0.ImageSectionObject.atl.dll.img,332,4,0,0,224,8462,267,7,10,44544,13312,0,41184,4096,1991376896,4096,512,5,1,5,1,4,10,0,69632,1024,81184,3,1024,262144,4096,1048576,4096,0,16,1
